Water_Supply_Scheme,Sample_Code,EC,pH,Turbidity,TDS,Alkalinity,HCO3,CO3,Cl,SO4,Ca,Mg,Hardness,Na,K,NO3_N,PO_{4},F,Fe,As
Bara Bhai,P/NL/SKG/Masroor/12/S/1,897.0,7.47,1.8,493.0,8.0,400,23.57196261682243,11.0,48.0,64.0,44.0,340.0,70.0,1.2,1.0,0.04,0.39,0.12,0.158
,"P/NL/SKG/Sukho
Chak/13/S/2",510.0,8.25,2.2,281.0,5.4,270,23.57196261682243,6.0,5.0,30.0,33.0,210.0,40.0,1.6,1.0,0.03,0.47,0.18,1.153
,"P/NL/SKG/Sukho
Chak/13/S/3",1125.0,7.5,35.0,619.0,10.9,545,23.57196261682243,24.0,35.0,62.0,53.0,375.0,98.0,1.8,0.6,0.06,0.28,0.12,0.502
Baramanga,"P/NL/SKG/Bara
Manga/14/S/1",912.0,7.7,24.0,502.0,6.2,310,23.57196261682243,42.0,55.0,54.0,32.0,265.0,40.0,80.0,0.4,0.5,0.31,0.31,0.224
,"P/NL/SKG/Bara
Manga/14/S/2",1386.0,7.35,2.2,762.0,9.7,485,23.57196261682243,74.0,139.0,84.0,68.0,490.0,64.0,65.0,1.0,0.07,0.43,0.22,0.307
Kot Nainan,P/NL/SKG/KNainan/15/S/1,404.0,7.98,0.8,255.0,4.6,230,23.57196261682243,5.0,14.0,48.0,13.0,170.0,26.0,1.7,0.6,0.02,0.42,0.15,14.02
,P/NL/SKG/KNainan/15/S/2,1175.0,7.58,45.0,649.0,8.2,410,23.57196261682243,92.0,47.0,106.0,30.0,390.0,86.0,5.1,0.4,0.04,0.29,0.04,62.49
Bua,P/NL/SKG/BUA/16/S/1,1027.0,8.24,4.2,565.0,9.1,455,23.57196261682243,16.0,60.0,26.0,18.0,140.0,184.0,1.7,0.9,0.05,2.56,0.4,0.565
,P/NL/SKG/BUA/16/S/2,1142.0,8.02,2.1,628.0,10.4,520,23.57196261682243,12.0,70.0,38.0,23.0,190.0,176.0,1.7,1.0,0.06,2.45,0.32,0.766
,P/NL/SKG/Mangri/17/C/1,582.0,8.1,0.5,320.0,5.4,270,23.57196261682243,6.0,23.0,40.0,17.0,170.0,60.0,1.5,1.0,0.11246780551905389,0.3,0.49,2.677
,P/NL/SKG/Mangri/17/C/2,514.0,8.14,2.1,316.0,5.3,265,23.57196261682243,7.0,21.0,38.0,17.0,165.0,61.0,1.4,1.0,0.11246780551905389,0.29,0.48,2.654
Mohlan,P/NL/SKG/Dara Pur/18/S/1,1176.0,6.98,91.0,647.0,7.5,375,23.57196261682243,87.0,30.0,92.0,27.0,390.0,80.0,55.0,16.0,0.04,0.38,0.32,26.94
,P/NL/SKG/Dara Pur/18/S/2,858.0,7.96,17.1,472.0,5.4,270,23.57196261682243,37.0,97.0,105.0,169.0,330.0,48.0,1.7,0.2,0.03,0.41,0.19,23.13
Sathiala,"P/NL/SKG/Dodho
Chak/19/S/1",1462.0,7.23,50.0,804.0,9.1,455,23.57196261682243,145.0,105.0,78.0,35.0,340.0,180.0,7.5,2.0,0.05,0.37,0.51,14.96
,"P/NL/SKG/Dodho
Chak/19/S/2",1788.0,7.35,158.0,983.0,11.6,580,23.57196261682243,159.0,129.0,88.0,58.0,460.0,196.0,4.0,1.0,0.07,0.39,0.98,41.65
Shahpur,"P/NL/SKG/Sokho
Chak/20/S/1",416.0,7.96,4.8,229.0,4.4,220,23.57196261682243,3.0,5.0,28.0,17.0,140.0,41.0,1.1,0.6,0.02,0.21,0.41,0.478
,"P/NL/SKG/Sokho
Chak/20/C/1",455.0,7.93,2.7,250.0,4.6,230,23.57196261682243,6.0,7.0,32.0,16.0,145.0,40.0,1.1,0.7,0.11246780551905389,0.22,0.35,0.513
,"P/NL/SKG/Sokho
Chak/20/C/2",451.0,7.88,7.2,248.0,4.6,230,23.57196261682243,6.0,5.0,30.0,15.0,135.0,40.0,1.1,0.4,0.11246780551905389,0.2,0.29,0.513
Tarapur,P/NL/SKG/Dinga/21/S/1,510.0,8.12,0.4,281.0,5.0,250,23.57196261682243,10.0,8.0,28.0,38.0,225.0,24.0,1.6,0.2,0.03,0.35,0.19,0.772
,P/NL/SKG/Dinga/21/S/2,490.0,7.9,1.0,270.0,4.9,245,23.57196261682243,7.0,6.0,26.0,35.0,210.0,24.0,1.6,0.2,0.04,0.33,0.19,0.511
,P/NL/SKG/Gharala/22/C/2,601.0,8.23,1.4,331.0,5.4,270,23.57196261682243,6.0,35.0,52.0,12.0,180.0,61.0,2.4,0.6,0.11246780551905389,0.35,0.04,7.555
,P/NL/SKG/Kanjroor/23/C/1,736.0,8.07,1.9,405.0,6.6,330,23.57196261682243,12.0,41.0,32.0,17.0,150.0,100.0,1.9,1.0,0.11246780551905389,1.47,0.04,3.615
,P/NL/SKG/Kanjroor/23/C/2,742.0,8.1,1.7,408.0,6.6,330,23.57196261682243,11.0,42.0,32.0,17.0,150.0,100.0,1.9,1.0,0.11246780551905389,1.45,0.5,3.649
,P/NRL/SKG/CITY/24/C/1,741.0,7.56,1.3,408.0,7.0,350,23.57196261682243,8.0,16.0,50.0,24.0,225.0,64.0,1.8,0.0,0.07,0.49,0.15,0.899
,P/NRL/SKG/CITY/24/C/2,652.0,8.29,1.8,359.0,6.3,315,23.57196261682243,6.0,17.0,12.0,22.0,120.0,104.0,0.9,2.0,0.05,1.91,0.09,0.734
,P/NRL/SKG/CITY/25/C/2,535.0,7.75,1.8,294.0,5.4,270,23.57196261682243,3.0,6.0,40.0,17.0,170.0,50.0,1.4,0.0,0.04,0.21,0.12,0.08
,P/NRL/SKG/CITY/25/C/3,537.0,7.73,0.8,295.0,5.4,270,23.57196261682243,3.0,130.15925768822905,40.0,17.0,170.0,50.0,1.3,1.0,0.05,0.2,0.09,1.155
Deen Pura,P/NRL/SKG/CITY/27/S/1,566.0,7.72,1.8,311.0,5.6,280,23.57196261682243,6.0,5.0,48.0,22.0,210.0,39.0,1.6,1.0,0.04,0.18,0.13,0.638
Nawazabad,P/NRL/SKG/CITY/28/S/1,478.0,8.16,0.6,263.0,4.3,215,23.57196261682243,7.0,19.0,20.0,10.0,90.0,69.0,0.9,0.0,0.02,0.54,0.07,2.081
"People
Coloney",P/NRL/SKG/CITY/29/S/1,565.0,7.89,1.8,311.0,5.3,265,23.57196261682243,6.0,19.0,40.0,23.0,195.0,50.0,1.3,0.0,0.04,0.15,0.11,0.724
,P/NRL/SKG/CITY/29/C/2,573.0,7.74,1.3,315.0,5.5,275,23.57196261682243,7.0,18.0,38.0,23.0,190.0,51.0,1.6,0.0,0.02,0.14,0.31,1.017
Antowadi,P/NRL/SKG/CITY/30/S/1,555.0,7.7,1.2,305.0,5.4,270,23.57196261682243,6.0,10.0,40.0,22.0,190.0,44.0,1.4,0.0,0.11246780551905389,0.19,0.21,0.94
Okara City,P/OKA/OKA/City/01/S/1,338.0,7.96,1.49,186.0,2.5,125,23.57196261682243,11.0,28.0,40.0,12.0,150.0,12.0,4.3,0.6,0.03,0.19,0.02,5.67
,P/OKA/OKA/City/01/S/4,348.0,7.78,0.21,191.0,2.4,120,23.57196261682243,10.0,32.0,32.0,15.0,140.0,12.0,3.9,0.5,0.11246780551905389,0.18,0.13,5.37
,P/OKA/OKA/City/01/S/11,327.0,8.18,0.39,180.0,2.3,115,23.57196261682243,10.0,34.0,40.0,12.0,150.0,12.0,3.5,0.5,0.02,0.21,0.09,6.33
,P/OKA/OKA/City/01/S/18,1354.0,7.78,0.25,812.0,7.6,380,23.57196261682243,38.0,252.0,65.0,33.0,300.0,162.0,12.5,0.4,0.13,1.25,0.06,25.2
,P/OKA/OKA/City/01/S/19,1341.0,7.83,0.76,805.0,7.6,380,23.57196261682243,37.0,242.0,58.0,38.0,300.0,160.0,11.4,0.2,0.11,1.21,0.0,23.4
Chak 33/2-RA,P/OKA/OKA/UC-19/03/S/1,514.0,7.48,1.41,283.0,3.6,180,23.57196261682243,16.0,54.0,48.0,22.0,210.0,19.0,5.5,0.3,0.03,0.19,0.11,4.88
"Chak 36, 37/2-RA",P/OKA/OKA/UC-18/05/S/1,382.0,7.76,1.41,210.0,2.8,140,23.57196261682243,11.0,34.0,40.0,12.0,150.0,14.0,4.3,0.5,0.04,0.18,0.11,7.08
Chak 25/4-L,P/OKA/OKA/UC-14/10/S/1,706.0,7.58,5.31,388.0,5.0,250,23.57196261682243,28.0,78.0,50.0,39.0,285.0,28.0,8.8,2.0,0.04,0.2,0.29,0.98
Chak 28A/4,P/OKA/OKA/UC-13/11/S/1,1332.0,7.65,2.43,799.0,5.0,250,23.57196261682243,57.0,352.0,48.0,80.0,450.0,88.0,15.2,0.6,0.09,0.6,0.21,5.23
Chak 5/4-L,P/OKA/OKA/UC-95/16/S/1,780.0,9.08,4.42,429.0,3.4,170,23.57196261682243,46.0,130.0,20.0,17.0,120.0,100.0,9.3,0.5,0.11,0.91,0.16,25.5
,P/OKA/UC-17/18/S/2,758.0,7.62,0.06,417.0,4.9,245,23.57196261682243,22.0,91.0,60.0,29.0,270.0,58.0,10.6,0.3,0.07,1.13,0.15,29.1
Chak 53/2-L,P/OKA/UC-16/19/S/1,622.0,7.68,0.91,342.0,4.3,215,23.57196261682243,14.0,74.0,44.0,24.0,210.0,34.0,8.2,1.6,0.04,0.43,0.12,19.7
Bangla Giggera,P/OKA/UC-100/20/S/1,1118.0,7.38,0.1,615.0,6.6,330,23.57196261682243,49.0,158.0,68.0,30.0,295.0,100.0,6.2,0.3,0.09,0.31,0.32,82.0
Chak 48/3-R,P/OKA/UC-7/24/S/1,650.0,7.68,0.64,358.0,2.4,120,23.57196261682243,59.0,90.0,68.0,19.0,250.0,19.0,2.2,0.1,0.64,0.33,0.61,4.05
Chak 6/4-L,P/OKA/UC-95/25/S/1,613.0,7.64,0.8,337.0,3.9,195,23.57196261682243,16.0,70.0,64.0,13.0,215.0,33.0,5.6,0.5,0.05,0.26,0.32,5.42
Chak 32/2-L,P/OKA/UC-15/32/S/1,820.0,7.42,3.96,451.0,3.2,160,23.57196261682243,92.0,80.0,68.0,32.0,300.0,43.0,6.9,0.3,0.07,0.39,0.72,20.6
Chak 47/2-L,P/OKA/UC-15/33/S/1,1032.0,7.5,0.62,568.0,8.5,425,23.57196261682243,22.0,81.0,48.0,45.0,305.0,110.0,10.5,0.3,0.11,0.97,0.31,16.7
Chak 48/2-L,P/OKA/UC-15/34/S/1,4170.0,7.88,0.18,2502.0,7.9,395,23.57196261682243,405.0,971.0,50.0,74.0,430.0,670.0,10.5,0.1,0.14,0.96,0.17,15.9
Chak 30/2-L,P/OKA/UC-15/36/S/1,1542.0,7.94,0.03,925.0,5.2,260,23.57196261682243,78.0,370.0,32.0,18.0,155.0,275.0,8.5,0.1,0.13,0.91,0.18,9.6
Chak 51/2-l,P/OKA/UC-17/38/S/1,1231.0,7.58,1.02,677.0,8.3,415,23.57196261682243,15.0,129.0,60.0,36.0,300.0,130.0,16.0,1.8,0.11,1.93,0.15,7.83
Chak 55/2-L,P/OKA/UC-16/40/S/1,680.0,7.88,0.19,374.0,4.6,230,23.57196261682243,24.0,63.0,52.0,29.0,250.0,30.0,6.4,0.7,0.05,0.49,0.08,8.55
Chak 4/1AL,P/OK/RK/02/S/1,2450.0,7.2,0.81,1522.0,6.2,320,23.57196261682243,300.0,535.0,64.0,56.0,390.0,355.0,17.1,0.7,0.13,1.08,0.81,17.5
Chak 6/1AL,P/OK/RK/13/S/1,634.0,8.2,0.88,367.0,3.5,175,23.57196261682243,20.0,120.0,38.0,31.633291192583222,220.0,36.0,9.0,2.0,0.05,0.63,0.08,23.46
Chak 12/1AL,P/OK/RK/22/S/1,435.0,7.85,17.11,239.0,3.4,170,23.57196261682243,18.0,23.0,38.0,17.0,165.0,16.0,4.0,1.0,0.02,0.19,0.06,6.798
Chak 2/1-L,P/OK/RK/23/S/1,694.0,7.68,0.08,401.0,4.8,240,23.57196261682243,144.0,70.0,52.0,31.633291192583222,250.0,46.0,7.0,2.0,0.05,0.34,0.07,23.54
Chak 10/1-L,P/OK/RK/35/S/1,2840.0,7.52,0.2,1764.0,10.3,515,23.57196261682243,292.0,472.0,72.0,31.633291192583222,340.0,450.0,8.4,0.7,0.17,1.27,1.11,6.25
Chak 18/1-L,P/OK/RK/36/S/1,1156.0,7.96,0.88,647.0,5.0,250,23.57196261682243,55.0,201.0,32.0,40.0,245.0,142.0,9.6,4.0,0.11,1.93,0.63,16.26
,P/OK/RK/36/S/2,1470.0,7.76,1.32,810.0,7.0,350,23.57196261682243,77.0,233.0,36.0,36.0,240.0,190.0,8.2,4.5,0.09,3.7,0.28,19.31
"Chak 5,6/1-L",P/OK/RK/37/S/1,2250.0,7.34,1.19,1350.0,9.6,480,23.57196261682243,220.0,200.0,50.0,83.0,465.0,290.0,6.8,1.0,0.14,0.65,0.68,38.88
Chak 7/1AL,P/OK/RK/41/S/1,1022.0,7.78,25.66,561.0,4.1,205,23.57196261682243,49.0,148.0,40.0,44.0,280.0,90.0,14.5,1.0,0.09,0.68,0.45,19.7
Chak 27/2-L,P/OK/RK/43/S/1,774.0,8.05,0.81,426.0,5.2,260,23.57196261682243,21.0,107.0,42.0,45.0,295.0,33.0,6.8,2.0,0.07,0.58,0.19,10.84
Renala Khurd,P/OK/RK/45/S/1,2060.0,8.22,1.31,1236.0,7.8,390,23.57196261682243,124.0,499.0,36.0,56.0,320.0,280.0,11.2,1.0,0.13,1.59,0.86,25.83
,P/OK/RK/45/S/2,2560.0,8.17,2.91,1530.0,8.6,430,23.57196261682243,157.0,659.0,30.0,62.0,330.0,400.0,12.5,1.0,0.15,1.81,0.87,20.88
,P/OK/RK/45/S/4,348.0,7.73,0.48,0.04,3.0,150,23.57196261682243,14.0,19.0,32.0,19.0,160.0,12.0,3.6,0.8,0.03,0.17,0.04,8.234
,P/OK/RK/45/S/6,360.0,7.58,0.21,0.03,2.8,140,23.57196261682243,10.0,11.0,36.0,16.0,125.0,11.0,3.0,1.0,0.03,0.18,0.03,3.205
Depalpur City,P/OKR/DPR/01/S/1,713.0,7.58,0.55,392.0,5.2,260,23.57196261682243,24.0,66.0,32.0,36.0,230.0,62.0,5.8,0.1,0.09,0.5,0.51,4.388
,P/OKR/DPR/01/S/2,661.0,7.56,0.79,364.0,4.8,240,23.57196261682243,24.0,55.0,32.0,29.0,200.0,60.0,5.2,0.2,0.05,0.54,0.39,5.32
,P/OKR/DPR/01/S/3,650.0,7.7,3.05,358.0,4.8,240,23.57196261682243,21.0,48.0,40.0,29.0,205.0,49.0,6.1,0.1,0.11,0.35,0.52,5.402
,P/OKR/DPR/01/S/4,820.0,7.55,0.64,451.0,5.0,250,23.57196261682243,41.0,119.0,36.0,49.0,290.0,43.0,20.2,0.3,0.04,0.35,0.61,2.639
,P/OKR/DPR/01/S/5,710.0,7.83,0.92,391.0,4.6,230,23.57196261682243,23.0,80.0,20.0,17.0,120.0,96.0,4.8,0.0,0.11246780551905389,0.67,0.59,3.98
,P/OKR/DPR/01/S/6,655.0,7.72,0.29,360.0,4.8,240,23.57196261682243,16.0,55.0,32.0,18.0,155.0,65.0,5.2,0.2,0.3,0.48,0.51,4.511
BaseerPur,P/OKR/DPR/03/S/1,664.0,7.89,0.54,365.0,4.7,235,23.57196261682243,16.0,76.0,42.0,28.0,220.0,40.0,6.0,0.3,0.06,0.35,0.5,1.637
,P/OKR/DPR/06/S/2,447.0,7.85,0.28,246.0,3.5,175,23.57196261682243,9.0,36.0,32.0,23.0,175.0,22.0,5.0,0.2,0.04,0.35,0.41,2.052
,P/OKR/DPR/06/S/3,523.0,7.61,1.71,288.0,4.2,210,23.57196261682243,6.0,40.0,36.0,26.0,195.0,28.0,5.2,0.1,0.08,0.32,0.31,2.631
,P/OKR/DPR/06/S/4,556.0,7.4,0.24,306.0,4.4,220,23.57196261682243,11.0,48.0,40.0,24.0,200.0,35.0,5.0,0.2,0.11246780551905389,0.29,0.25,3.471
,P/OKR/DPR/06/S/5,554.0,7.72,1.09,305.0,4.7,235,23.57196261682243,7.0,41.0,34.0,26.0,190.0,38.0,5.2,0.1,0.02,0.35,0.41,4.628
Havaili lakhan,P/OKR/DPR/08/S/1,580.0,8.01,0.28,319.0,4.4,220,23.57196261682243,17.0,45.0,20.0,12.0,100.0,78.0,3.9,0.3,0.11246780551905389,0.45,0.32,6.42
,P/OKR/DPR/08/S/3,540.0,7.67,1.02,297.0,4.3,215,23.57196261682243,6.0,38.0,22.0,21.0,140.0,58.0,6.0,0.4,0.04,0.39,0.22,4.004
,P/OKR/DPR/08/S/4,556.0,7.8,0.54,306.0,4.2,210,23.57196261682243,11.0,43.0,36.0,17.0,160.0,48.0,6.0,0.1,0.07,0.32,0.19,3.265
,P/OKR/DPR/08/S/5,477.0,7.84,0.8,262.0,3.8,190,23.57196261682243,6.0,39.0,40.0,12.0,150.0,40.0,4.9,0.4,0.03,0.34,0.31,3.016
,C/Rwp/Tax/6/C/1,890.0,7.5,1.01,521.0,6.0,300,23.57196261682243,21.0,24.0,72.0,41.0,350.0,53.0,2.6,1.6,0.05,0.46,0.03,0.597
Jalla,C/Rwp/Tax/8/C/1,1011.0,7.36,1.94,677.0,8.0,400,23.57196261682243,25.0,86.0,80.0,48.0,400.0,80.0,4.4,11.6,0.04,0.36,0.03,0.669
Salargah,C/Rwp/Tax/9/S/1,456.0,7.6,68.0,259.0,3.4,170,23.57196261682243,8.0,64.0,60.0,19.0,230.0,8.0,2.0,0.8,0.14,0.24,0.05,0.514
,C/Rwp/Tax/9/C/1,456.0,7.5,11.48,269.0,3.3,165,23.57196261682243,8.0,56.0,60.0,19.0,230.0,8.0,1.9,0.8,0.07,0.24,0.05,0.487
Garhi Sikander,C/Rwp/Tax/11/S/1,446.0,7.5,0.03,266.0,3.2,160,23.57196261682243,11.0,59.0,60.0,21.0,235.0,9.0,1.5,0.8,0.03,0.21,0.04,0.371
,C/Rwp/Tax/1/C/1,446.0,7.7,0.04,264.0,3.2,160,23.57196261682243,9.0,53.0,60.0,21.0,235.0,8.0,1.5,1.2,0.04,0.02,0.04,0.649
Kolian,C/Rwp/Tax/13/S/1,600.0,7.5,0.12,360.0,4.8,240,23.57196261682243,14.0,67.0,84.0,27.0,320.0,9.0,1.9,1.0,0.06,0.27,0.045,0.433
,C/Rwp/Tax/13/C/1,600.0,7.6,0.04,360.0,4.8,240,23.57196261682243,11.0,66.0,84.0,27.0,320.0,8.0,1.8,2.5,0.06,0.2,0.04,0.419
,C/Rwp/Tax/15/C/1,511.0,7.5,0.09,296.0,3.9,195,23.57196261682243,9.0,60.0,64.0,24.0,260.0,8.0,1.5,0.5,0.05,0.25,0.03,0.57
Dhok Saidu,C/Rwp/Tax/18/C/1,842.0,7.0,0.08,488.0,7.0,350,23.57196261682243,43.0,21.0,84.0,22.0,360.0,75.0,2.3,2.1,0.04,0.036,0.032,0.022
Brahama,C/Rwp/Tax/128/C/1,720.0,7.1,0.3,396.0,6.7,335,23.57196261682243,17.0,20.0,58.0,49.0,345.0,19.0,2.0,2.0,0.06,0.31,0.04,0.019
,C/Rwp/Tax/128/C/2,731.0,7.3,0.42,402.0,6.8,340,23.57196261682243,17.0,22.0,60.0,49.0,350.0,16.0,1.8,2.0,0.05,0.3,0.04,0.02
"Wah village Mughal
Garden",C/Rwp/Tax/129/S/1,417.0,7.3,0.8,229.0,3.0,150,23.57196261682243,11.0,34.0,38.0,19.0,175.0,18.0,2.1,3.3,0.04,0.67,0.07,0.47
,C/Rwp/Tax/129/C/1,430.0,7.4,1.0,236.0,3.1,155,23.57196261682243,13.0,36.0,40.0,18.0,175.0,18.0,2.6,3.7,0.04,0.7,0.07,0.48
,C/Rwp/Tax/129/C/2,442.0,7.4,2.3,243.0,3.2,160,23.57196261682243,15.0,35.0,45.0,15.0,180.0,19.0,2.4,3.5,0.38,0.7,0.1,0.44
Taxila City,C/Rwp/Tax/01/S/1,604.0,7.4,0.6,332.0,5.6,280,23.57196261682243,15.0,18.0,50.0,43.0,300.0,12.0,1.3,1.4,0.03,0.4,0.06,0.56
,C/Rwp/Tax/01/S/2,620.0,7.3,0.3,341.0,5.6,290,23.57196261682243,21.0,15.0,45.0,36.0,260.0,30.0,2.4,1.0,0.04,0.3,0.02,0.55
,C/Rwp/Tax/01/S/3,680.0,7.5,0.3,374.0,6.0,300,23.57196261682243,25.0,37.0,55.0,35.0,280.0,40.0,1.8,1.0,0.06,0.35,0.05,0.48
,C/Rwp/Tax/01/C/1,700.0,7.5,0.6,385.0,6.2,310,23.57196261682243,22.0,35.0,60.0,34.0,290.0,39.0,2.0,1.6,0.06,0.33,0.04,0.59
,C/Rwp/Tax/01/C/2,695.0,7.4,0.4,382.0,6.1,305,23.57196261682243,18.0,32.0,58.0,35.0,290.0,37.0,2.0,2.0,0.05,0.4,0.06,0.51
,C/Rwp/Tax/01/C/3,715.0,7.5,0.8,393.0,6.3,315,23.57196261682243,23.0,38.0,62.0,38.0,310.0,38.0,1.7,1.3,0.05,0.38,0.05,0.47
,C/Rwp/Tax/01/C/4,726.0,7.6,0.5,399.0,6.3,320,23.57196261682243,22.0,43.0,64.0,36.0,310.0,40.0,2.0,1.5,0.07,0.42,0.04,0.42
Dhok Lalial,E/RWP/RAW/04/S/1,527.0,7.2,0.03,305.0,4.6,230,23.57196261682243,14.0,31.0,72.0,22.0,270.0,18.0,2.3,1.2,0.06,0.25,0.03,0.738
,E/RWP/RAW/04/C/1,526.0,7.2,0.04,304.0,4.6,230,23.57196261682243,14.0,28.0,72.0,26.0,285.0,13.0,1.4,1.0,0.05,0.25,0.03,0.54
Tube Well # 2,E/RWP/RAW/09/C/1,486.0,7.2,0.04,277.0,4.2,210,23.57196261682243,11.0,23.0,64.0,22.0,250.0,12.0,1.3,0.8,0.04,0.27,0.03,0.54
Jattal,J/RWP/RAW/07/C/1,1403.0,7.1,3.5,841.0,6.8,340,23.57196261682243,71.0,183.0,164.0,75.0,720.0,220.0,2.4,8.0,0.24,3.0,0.01,0.012
,J/RWP/RAW/07/C/2,832.0,7.5,7.2,457.0,6.0,300,23.57196261682243,50.0,65.0,68.0,24.0,270.0,190.0,2.0,8.0,0.25,0.49,0.03,0.138
Girja,J/RWP/RAW/06/C/1,914.0,7.6,0.87,502.0,7.2,360,23.57196261682243,35.0,2.6,44.0,19.0,190.0,55.0,2.0,10.0,0.21,0.47,0.01,0.02
,J/RWP/RAW/06/C/2,670.0,7.2,3.45,368.0,6.4,320,23.57196261682243,11.0,2.5,72.0,29.0,300.0,51.0,1.0,9.5,0.19,0.37,0.01,0.087
,J/RWP/RAW/05/C/2,2820.0,8.1,14.71,1692.0,5.0,250,23.57196261682243,581.0,170.0,84.0,44.0,390.0,437.0,6.0,1.2,0.2,0.31,0.02,0.849
Pindori,J/RWP/RAW/04/C/1,1492.0,7.8,1.32,820.0,8.6,430,23.57196261682243,120.0,119.0,32.0,25.0,185.0,280.0,4.0,2.0,0.19,1.08,0.09,0.225
,J/RWP/RAW/04/C/2,2390.0,7.4,2.94,1314.0,7.6,380,23.57196261682243,301.0,251.0,84.0,87.0,570.0,331.0,4.0,7.0,0.21,0.51,0.08,0.137
Tatrial,J/RWP/RAW/03/S/1,627.0,7.7,3.19,344.0,4.6,230,23.57196261682243,28.0,37.6,70.0,19.4,255.0,35.0,4.0,0.5,0.27,0.355,0.02,0.149
,J/RWP/RAW/08/C/1,736.0,7.6,0.11,404.0,6.4,320,23.57196261682243,28.0,9.5,68.0,56.0,400.0,33.0,1.0,2.0,0.11,0.29,0.04,0.65
,J/RWP/RAW/08/C/2,740.0,7.4,0.31,407.0,6.8,340,23.57196261682243,14.0,9.0,40.0,36.0,250.0,32.0,1.0,1.2,0.12,0.28,0.03,0.24
Dhaman,J/RWP/RAW/09/C/1,1708.0,7.8,2.11,1024.0,11.3,518,23.57196261682243,170.0,236.0,40.0,36.0,250.0,335.0,1.0,1.3,0.14,0.79,0.03,1.37
,J/RWP/RAW/09/C/2,1918.0,7.0,7.1,1054.0,7.2,360,23.57196261682243,195.0,155.0,154.0,78.0,710.0,400.0,1.0,1.5,0.13,0.3,0.01,0.45
Lilla Kamapur,J/RWP/RAW/01/S/1,1072.0,8.2,79.29,64.0,4.8,240,23.57196261682243,102.0,85.0,50.0,31.6,255.0,139.0,5.0,2.1,0.23,0.23,0.08,1.82
,J/RWP/RAW/01/C/1,1042.0,7.0,0.04,625.0,6.2,310,23.57196261682243,53.0,19.0,116.0,26.7,400.0,50.0,1.0,5.0,0.23,0.24,0.09,0.38
,J/RWP/RAW/01/C/2,1134.0,7.5,0.03,680.0,9.0,450,23.57196261682243,28.0,76.0,70.0,62.0,430.0,95.0,3.0,1.6,0.21,0.39,0.06,0.15
"Shah Khalid
Colony",I/RWP/RAW/47/S/1,1013.0,7.3,0.7,557.0,6.4,320,23.57196261682243,42.0,124.0,45.0,33.0,250.0,115.0,3.6,1.0,0.2,0.3,0.02,0.29
,I/RWP/RAW/47/C/2,1030.0,7.4,0.6,567.0,6.0,300,23.57196261682243,51.0,132.0,46.0,36.0,260.0,120.0,3.2,1.0,0.2,0.33,0.01,0.61
"Tubewell No.
Mirpur Town
Secter-3",I/RWP/RAW/46/S/1,714.0,7.6,1.0,393.0,4.8,240,23.57196261682243,34.0,68.0,36.0,27.0,200.0,75.0,1.6,1.0,0.03,0.4,0.03,0.94
,I/RWP/RAW/46/C/1,728.0,7.5,1.3,400.0,4.8,240,23.57196261682243,37.0,76.0,40.0,29.0,220.0,80.0,1.7,1.4,0.06,0.4,0.04,0.133
,I/RWP/RAW/46/C/2,732.0,7.5,1.6,403.0,4.9,245,23.57196261682243,35.0,81.0,40.0,30.0,225.0,72.0,2.0,1.0,0.05,0.38,0.04,0.27
"Muzamal
Town/ Zam
Zam",I/RWP/RAW/45/S/1,865.0,7.6,2.0,476.0,6.0,300,23.57196261682243,48.0,61.0,52.0,27.0,240.0,94.0,1.0,2.0,0.03,0.4,0.03,1.95
,I/RWP/RAW/45/C/1,880.0,7.6,2.4,479.0,6.2,310,23.57196261682243,50.0,65.0,55.0,25.0,240.0,100.0,1.0,2.0,0.033,0.04,0.03,0.16
,I/RWP/RAW/45/C/2,888.0,7.5,3.0,488.0,6.4,320,23.57196261682243,52.0,63.0,58.0,24.0,242.0,103.0,1.2,2.0,0.004,0.005,0.03,0.53
"Faruuor-e-Azam Block
UC-76",I/RWP/RAW/44/S/1,690.0,7.3,1.0,380.0,5.2,260,23.57196261682243,56.0,23.0,46.0,28.0,230.0,55.0,1.5,1.0,0.045,0.2,0.04,1.38
,I/RWP/RAW/44/C/1,700.0,7.5,1.3,385.0,5.3,265,23.57196261682243,56.0,20.0,48.0,27.0,230.0,60.0,1.5,1.0,0.05,0.25,0.044,0.94
,I/RWP/RAW/44/C/2,720.0,7.5,1.6,396.0,5.1,255,23.57196261682243,62.0,24.0,50.0,28.0,240.0,59.0,1.8,1.3,0.06,0.2,0.04,0.73
"Maserote Dam
Dhmial",I/RWP/RAW/43/C/1,1883.0,7.3,0.02,1129.0,7.4,370,23.57196261682243,184.0,250.0,92.0,39.0,390.0,210.0,1.0,9.0,0.21,0.87,0.001,0.69
,I/RWP/RAW/43/C/2,2180.0,7.2,0.02,1308.0,9.6,480,23.57196261682243,186.0,236.0,120.0,51.0,510.0,280.0,1.0,8.0,0.29,0.71,0.002,0.52
,I/RWP/RAW/43/C/3,2030.0,7.3,0.01,1218.0,8.6,430,23.57196261682243,195.0,240.0,124.0,48.0,510.0,250.0,2.0,1.5,0.2,0.69,0.001,0.711
Gulshan-e-Saeed,I/RWP/RAW/42/C/1,1325.0,7.5,169.0,795.0,8.0,400,23.57196261682243,77.0,77.0,84.0,66.0,480.0,162.0,2.0,12.0,0.27,0.52,0.09,0.84
